CardLevel,RaidXP,CumulativeXP
1,310,310
2,320,630
3,330,960
4,340,1300
5,350,1650
6,360,2010
7,370,2380
8,380,2760
9,390,3150
10,400,3550
11,410,3960
12,420,4380
13,430,4810
14,440,5250
15,450,5700
16,460,6160
17,470,6630
18,480,7110
19,490,7600
20,500,8100
21,510,8610
22,520,9130
23,530,9660
24,540,10200
25,550,10750
26,560,11310
27,570,11880
28,580,12460
29,590,13050
30,600,13650
31,610,14260
32,620,14880
33,630,15510
34,640,16150
35,650,16800
36,660,17460
37,670,18130
38,680,18810
39,690,19500
40,700,20200
41,700,20900
42,700,21600
43,700,22300
44,700,23000
45,700,23700
46,700,24400
47,700,25100
48,700,25800
49,700,26500
50,700,27200
51,700,27900
52,700,28600
53,700,29300
54,700,30000
55,700,30700
56,700,31400
57,700,32100
58,700,32800
59,700,33500
60,700,34200
61,700,34900
62,700,35600
63,700,36300
64,700,37000
65,700,37700
66,750,38450
67,750,39200
68,750,39950
69,750,40700
70,800,41500
71,800,42300
72,800,43100
73,800,43900
74,850,44750
75,850,45600
76,850,46450
77,850,47300
78,900,48200
79,900,49100
80,900,50000
81,900,50900
82,900,51800
83,900,52700
84,900,53600
85,900,54500
86,900,55400
87,900,56300
88,900,57200
89,900,58100
90,900,59000
91,900,59900
92,900,60800
93,900,61700
94,900,62600
95,900,63500
96,900,64400
97,900,65300
98,900,66200
99,900,67100
100,900,68000